Designator,Mid X,Mid Y,Layer,Rotation
12VPOWER,91.18,13.95,Top,0.0
C1,36.43,38.03,Top,180.0
C2,32.29,38.03,Top,0.0
C3,89.74,38.03,Top,180.0
C4,85.59,38.00,Top,0.0
C5,83.19, 6.35,Top,180.0
C6,11.75, 2.54,Top,0.0
IC1,33.21,28.83,Top,270.0
IC2,86.50,28.83,Top,270.0
R1,11.72,50.59,Top,0.0
R2,86.02,13.93,Top,180.0
U$2,69.93,36.15,Top,270.0
U$3,13.98,36.15,Top,270.0
U$4,17.94,36.15,Top,90.0
U$5,13.90,26.70,Top,90.0
U$6,17.88,26.70,Top,270.0
U$7,48.25,26.70,Top,90.0
U$8,52.28,26.70,Top,270.0
U$9,48.25,36.15,Top,270.0
U$10,52.28,36.15,Top,90.0
U$11,73.63,36.15,Top,90.0
U$13,68.66,26.70,Top,90.0
U$14,72.36,26.70,Top,270.0
USB, 7.13,50.53,Top,180.0
